ID,Title,"Line in Feed",Description,Availability,Link,"Image Link",Price,"Identifier Exists",Brand,"Product Type",Gender
379,"Essence pure woman eau de toilette",11,"<p>essence pure&nbsp;for women, in their plenitude, represent a unique way of looking at life. as though born under the point of an&nbsp;s.t.dupont&nbsp;pen, dreams become a spiritual journey to the ends of the world, immersion in an unknown land, the spectacle of nature&#39;s immensity.</p>

<p>an exceptional adventure for a man and woman in search of purity, a way of getting back to basics.</p>
",in_stock,https://www.giftscenter.com/product/essence-pure-woman-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5cd17aa62d24c.jpg,"51 JOD",yes,"S.T. DUPONT",FRAGRANCES,"For Her"
62695,"Be exceptional man eau de toilette",12,"<p><strong>be exceptional</strong></p>

<p>inspired by the symbols of the french art of living and excellence of the s.t. dupont maison, the translucent black glass flask bottle is enhanced with a silver plaque, which bears the extremely elegant s.t. dupont signature as a seal.</p>

<p>this elegant woody aromatic oriental is a modern combination of a fresh breeze and a warm sensuality.</p>
",in_stock,https://www.giftscenter.com/product/be-exceptional-man-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5cd18851ab9b0.jpg,"42 JOD",yes,"S.T. DUPONT",FRAGRANCES,"For Him"
373,"By  s.t. dupont woman eau de parfum",13,"<p>emblematic of a brand that constantly impresses by its singular,</p>

<p>understated and chic allure, far-removed from passing fashion trends.</p>

<p>they cultivate refinement and high standards as a lifestyle, honing their style to perfection.</p>
",in_stock,https://www.giftscenter.com/product/by-s-t-dupont-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5cd17dcba4eac.jpg,"52 JOD",yes,"S.T. DUPONT",FRAGRANCES,"For Her"
580,"Blossom woman eau de parfum",14,"<p><strong>jimmy choo blossom</strong> special edition perfume for women is a joyful bouquet of colourful notes. it is a floral, fruity, woody scent that sparkles on its wearer. it opens with fruity notes of juicy pear that mingle with the sweet-tinged acidity of mandarin. at its heart, the fragrance makes way for a seasonal bouquet of fresh lily-of-the-valley, hibiscus flower and pink freesia. base notes of white musks and sandalwood leave a contemporary, sexy trace on the skin.&nbsp;<br />
<br />
top notes: pear, bergamot, mandarin orange&nbsp;<br />
heart notes: lily-of-the-valley, hibiscus, pink freesia&nbsp;<br />
base notes: sandalwood, ambroxan, white musk&nbsp;</p>
",in_stock,https://www.giftscenter.com/product/blossom-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5d199e5066ed9.jpg,"80 JOD",yes,"JIMMY CHOO",FRAGRANCES,"For Her"
606,"Illicit woman eau de parfum",15,"<p>jimmy choo illicit</p>

<p>punchy and provocative but with an underlying sweetness,&nbsp;illicit&nbsp;is a hypnotic and innately&nbsp;feminine floriental fragrance.&nbsp;</p>

<p>an entirely unique&nbsp;olfactory experience, comforting ginger flirts with feminine rose and sophisticated jasmine before drying down to reveal the perfume&rsquo;s pi&egrave;ce de r&eacute;sistance &ndash; a gourmand honey-amber accord.</p>

<p>strong, multi-faceted and intricate,&nbsp;illicit&nbsp;crystal bottle mirrors the architectural silhouette of an art deco style crystal glass tumbler.&nbsp;<br />
inspired by the gold faceted leather that features in the&nbsp;jimmy choo&nbsp;collections it evokes a glamorous spirit with a hint of rebellion.</p>
",in_stock,https://www.giftscenter.com/product/illicit-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5ccd8d4ac74e0.jpg,"70 JOD",yes,"JIMMY CHOO",FRAGRANCES,"For Her"
607,"Illicit flower woman eau de toilette",16,"<p>the next step in the&nbsp;illicit journey,&nbsp;illicit flower&nbsp;is a flirtatious&nbsp;eau de toilette, for a mischievous and mesmerizing woman.</p>

<p>illicit flower&nbsp;will become every seductive woman&rsquo;s most prized possession.<br />
adding a new twist to the original rose accord that intuitively exudes an air of femininity; juicy apricot and zesty mandarin have been crushed over the pretty floral heart notes of grapefruit flower and jasmine to create a fresh, sparkling scent that springs off skin and into the atmosphere.</p>
",in_stock,https://www.giftscenter.com/product/illicit-flower-woman-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5d57db05293f0.jpg,"88 JOD",yes,"JIMMY CHOO",FRAGRANCES,"For Her"
55569,"Ice man eau de toilette",17,"<p>jimmy choo man ice</p>

<p>the evolution of the&nbsp;jimmy choo man&nbsp;continues with the introduction of the fresh and aromatic&nbsp;jimmy choo man ice.</p>

<p>refreshing and powerful, it opens with a citrus breeze of mandarin, bergamot and cedrat essence but is intensified with heart notes of woody vetiver, patchouli essence and cedarwood enhanced by crisp apple.</p>

<p>its carnal wake of musk, moss and ambroxan gives the fragrance a natural elegance punctuated by a hypnotic signature.</p>
",in_stock,https://www.giftscenter.com/product/ice-man-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5ccd8732d0deb.jpg,"78 JOD",yes,"JIMMY CHOO",FRAGRANCES,"For Him"
568,"Signature intense man eau de toilette",18,"<p>jimmy choo man intense</p>

<p>confident, masculine and daring,&nbsp;jimmy choo man intensecaptures the spirit of the&nbsp;jimmy choo man.</p>

<p>a&nbsp;new fragrance&nbsp;that smoulders with masculinity, sophistication and an intensity that&rsquo;s truly irresistible.</p>

<p>this fougere oriental woody combines the elegance of a spicy freshness with the masculinity of a leathery amber base.</p>
",in_stock,https://www.giftscenter.com/product/signature-intense-man-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5ccd85e2522b5.jpg,"82 JOD",yes,"JIMMY CHOO",FRAGRANCES,"For Him"
566,"Signature man deodorant",19,"<p>jimmy choo man eau de toilette is a sophisticated, modern and distinctive scent, created for a confident and refined man with a rebellious spirit. the jimmy choo man deodorant stick provides long lasting freshness while leaving behind the signature scent of jimmy choo man eau de toilette.</p>
",in_stock,https://www.giftscenter.com/product/signature-man-deodorant,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5ad847321e1a7.jpg,"20 JOD",yes,"JIMMY CHOO",FRAGRANCES,"For Him"
59407,"Fleur de pecher woman eau de parfum",20,"<p><strong>fleur de p&ecirc;cher</strong>&nbsp;is a musky fruity floral that takes on a sophisticated elegance and a classicism with a modern twist. its fragrance is an interpretation of peach blossom, whose feel brings to mind the delicate sensation of velvet.</p>

<p>&nbsp;</p>
",in_stock,https://www.giftscenter.com/product/fleur-pecher-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5d185af037c2a.jpg,"44 JOD",yes,"KARL LAGERFELD",FRAGRANCES,"For Her"
7066,"Lanvin me woman eau de parfum",21,"<p>lanvin me perfume by lanvin, share your unique sense of self with the world with lanvin me for women&nbsp;. introduced in 2013 by lanvin, this statement-making scent easily transitions with you from daytime girl-on-the-go to nightclub-hopping diva. enticing tuberose mixes with fruity blueberry and deep notes of sandalwood, black wood, and licorice, creating a sensual sensory experience. dab lanvin me on your wrists and behind your ears, and have them guessing who you are from the moment you walk in&nbsp;the room.</p>
",in_stock,https://www.giftscenter.com/product/lanvin-me-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aed72431e2d6.jpg,"68 JOD",yes,LANVIN,FRAGRANCES,"For Her"
7053,"Marry me woman eau de parfum",22,"<p>marry me !&nbsp;the delight of love at first sight, a romantic whim or the thrill of seduction. the&nbsp;perfume&nbsp;of an encounter, the first days of passion, a hope of true love.</p>

<p>the&nbsp;lanvin fashion house&nbsp;imagined a wave of freshness, happiness and passion.</p>

<p>a floral composition blending the power of bitter orange and the softness of a bouquet of freesias. sensuality heightened by captivating sambac jasmine softened by notes of magnolia blossom. a union of white flowers warmed by white cedar and luxuriant musk.</p>
",in_stock,https://www.giftscenter.com/product/marry-me-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5ccffb6e45944.jpg,"52 JOD",yes,LANVIN,FRAGRANCES,"For Her"
